Day,Treatment,Yeast,Mating,Sex,CageID,Rep,TotalWeight1,TotalWeight2,BoatWeight1,BoatWeight2,AvTotal,AvBoat,AvBody
4,6,N,Y,M,1,2,50.25,50.246,49.396,49.422,50.248,49.409,0.1678
4,6,N,Y,F,2,1,57.731,57.733,56.396,56.329,57.732,56.3625,0.2739
4,6,N,Y,M,2,2,56.02,56.001,55.116,55.126,56.0105,55.121,0.1779
4,6,N,Y,F,3,1,62.729,62.691,61.216,61.268,62.71,61.242,0.2936
4,6,N,Y,M,3,2,71.675,71.627,70.511,70.763,71.651,70.637,0.2028
4,6,N,Y,F,4,1,54.448,54.423,52.884,52.937,54.4355,52.9105,0.305
4,6,N,Y,M,4,2,70.635,70.636,69.632,69.625,70.6355,69.6285,0.2014
4,7,Y,Y,F,1,1,62.924,62.916,61.045,61.054,62.92,61.0495,0.3741
4,7,Y,Y,M,1,2,78.124,78.27,77.219,77.199,78.197,77.209,0.1976
4,7,Y,Y,F,2,1,67.497,67.712,66.095,66.077,67.6045,66.086,0.379625
4,7,Y,Y,M,2,2,69.813,69.863,68.85,68.869,69.838,68.8595,0.1957
4,7,Y,Y,F,3,1,50.556,50.564,48.709,48.694,50.56,48.7015,0.3717
4,7,Y,Y,M,3,2,61.665,61.698,60.694,60.697,61.6815,60.6955,0.1972
4,7,Y,Y,F,4,1,69.317,69.343,67.09,67.526,69.33,67.308,0.4044
4,7,Y,Y,M,4,2,83.735,83.732,82.681,82.698,83.7335,82.6895,0.2088
4,8,Y,Y,F,1,1,88.116,88.144,86.225,86.23,88.13,86.2275,0.3805
4,8,Y,Y,M,1,2,65.29,65.217,64.264,64.216,65.2535,64.24,0.2027
4,8,Y,Y,F,2,1,40.925,40.914,39.052,38.978,40.9195,39.015,0.3809
4,8,Y,Y,M,2,2,62.171,62.135,60.822,60.831,62.153,60.8265,0.221083333
4,8,Y,Y,F,3,1,54.621,54.688,52.778,52.675,54.6545,52.7265,0.3856
